id,name,type,typecode,pname,cityname,adname,address,location,tel
B0FFI56WPJ,上海吴德昇文化艺术中心,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,江桥镇增建村金沙江西路3300号,"121.289811,31.242566",021-69899509
B0JUHDSSFC,上海嘉定区北虹桥美术馆,科教文化服务;美术馆;美术馆,140400,上海市,上海市,嘉定区,景域大道88号13幢,"121.317457,31.229681",13818055056
B00156R4XX,上海梧桐美术馆,科教文化服务;美术馆;美术馆,140400,上海市,上海市,嘉定区,金园四路258号,"121.314749,31.259777",021-39553911;021-69003550
B0FFKOWKUQ,上海秦古美术馆,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,曹安公路2888号,"121.320421,31.265351",021-69106351
B0KR66VEYK,上海翱翔艺术馆,科教文化服务;美术馆;美术馆,140400,上海市,上海市,嘉定区,沪宜公路1188号南翔智地A区5号楼,"121.303574,31.297682",[]
B0FFIYV244,中国书画院上海分院办事处,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,鹤栖路314号,"121.319674,31.249641",[]
B0HKNLQCG1,华泰石文化艺术交流中心,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,曹安公路4058号D馆2层,"121.266675,31.277925",18917263916
B0L3JYD18D,华语艺术空间CathayArt,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,江桥镇丰华路1051号B幢107,"121.335820,31.237503",[]
B0L3AZR41F,南希画廊(艺河湾艺术区店),科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,环球六路与环球九路交叉口南60米,"121.266675,31.277975",13671863626
B0J3RUVFT0,嘉源海美术馆,科教文化服务;美术馆;美术馆,140400,上海市,上海市,嘉定区,马陆镇大治路39号,"121.314487,31.380474",021-59511999
B0FFKKVI1R,小美艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,南翔镇银翔湖公园西南隅(古漪园南路和武威路交界),"121.323681,31.281941",[]
B0JK4HNS6O,春田美术馆,科教文化服务;美术馆;美术馆,140400,上海市,上海市,嘉定区,顺宁路1029号,"121.267191,31.406571",[]
B0M6XCRSPF,正缘红木非遗艺术馆,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,嘉定镇西大街56号,"121.240025,31.378225",13262786586
B0LBHZZ1CX,泰当代湖畔艺术画廊,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,嘉定区远香湖公园沪宜公路2755号9幢,"121.273518,31.350371",[]
B0FFG8G5M3,涵皓文化艺术中心(封浜校区),科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,江桥镇封浜吴杨东路333弄258-2号,"121.304974,31.269805",021-69587887
B0LGDHACYN,繁星遇见美术馆,科教文化服务;美术馆;美术馆,140400,上海市,上海市,嘉定区,曹安公路4058号F255室,"121.266330,31.278050",15000154411
B0K39AEMKK,联华艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,华亭佳苑122号(红楼5F),"121.285767,31.477472",17321202693
B00152023F,陆俨少艺术院,科教文化服务;展览馆;展览馆,140200,上海市,上海市,嘉定区,东大街358号,"121.253460,31.385963",021-59527465;021-59529530
B0HASD8X2J,青纳艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,上海市,上海市,嘉定区,安亭镇安礼路258弄21号107室,"121.169973,31.269808",18917577396
