id,name,type,typecode,pname,cityname,adname,address,location,tel
B000AA0MWG,77文创美术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,东城区,美术馆后街77号,"116.408302,39.927581",010-53354000
B0J15CSXGX,GALLERY WHERE(东四空间),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,铁营南巷6号,"116.421709,39.928487",18610729116
B0FFJVAIN6,HAPPYMOMA美术馆(当代moma店),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,香河园路1号当代MOMAS2号楼2层208号,"116.437813,39.950140",18210661150
B0FFH95JUG,aye画廊,科教文化服务;展览馆;展览馆,140200,北京市,北京市,东城区,安定门东滨河路3号院雍和家园二期3单元601室,"116.418393,39.950949",010-84221726
B0J63A5LS7,中国民族书画院北京交流中心,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,北河沿大街81-2号,"116.405826,39.927486",[]
B000A8ZILA,中国美术院,科教文化服务;美术馆;美术馆,140400,北京市,北京市,东城区,美术馆后街18号康铭大厦,"116.409781,39.931574",[]
B000A7BC2S,中国美术馆,科教文化服务;博物馆;博物馆,140100,北京市,北京市,东城区,五四大街1号,"116.408939,39.925255",010-64006326;010-64011816
B0LRHO9XNJ,井JING·胡同美术馆,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,北京城区三眼井胡同68号,"116.400263,39.927816",[]
B0L6AUPDTL,全噬美术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,东城区,鼓楼东大街185-1号,"116.400756,39.940880",[]
B0FFI01IC1,北京中旗艺术馆(皇城国际中心店),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,安定门外大街138号皇城国际大厦a座7层,"116.408936,39.955788",[]
B0FFIH51T5,北京嘉德艺术中心,科教文化服务;展览馆;展览馆,140200,北京市,北京市,东城区,王府井大街1号(中国美术馆地铁站D2西南口步行70米),"116.410182,39.923587",010-65189968;010-85928266
B0JGLAGF5W,北京正东书画院,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,安乐林路38号(永定门外地铁站E东南口步行380米),"116.403636,39.865010",[]
B0JKDU27Y3,北京沉浸玻璃艺术馆(合景摩方购物中心店),科教文化服务;展览馆;展览馆,140200,北京市,北京市,东城区,崇文门合景摩方F3层(崇文门地铁站H西南口旁),"116.417748,39.899800",18401092779
B0FFKPW6AY,北京翰林一峰文化艺术中心,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,金鱼池中街2号院5号楼5-3,"116.410151,39.892046",[]
B0LRJHH8BI,北京陶然天美术馆,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,工体西路3号2层211c陶然天美术馆,"116.443350,39.929420",010-85636349
B0HD9U1XM4,南池子美术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,东城区,南池子大街普渡寺西巷21号,"116.403429,39.913840",010-65281891
B000AA53P7,后山艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,东直门外香河园路1号当代MOMA园区T8楼北,"116.438118,39.951497",010-84004774;18611696081
B0L3J7DW3E,唐巢艺术中心(雍和宫)(装修中),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,北京城区前永康胡同11号东雍文化园露台二层,"116.420132,39.944431",17810337808
B0FFJ3OC08,壹号画院,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,前门銮庆胡同23号(前门地铁站G东南口步行410米),"116.403667,39.898561",18511156691
B0L2AL2H2H,文津阁文化艺术中心,科教文化服务;美术馆;美术馆,140400,北京市,北京市,东城区,北京城区隆福寺街95号北京隆福寺东院L2、L3层,"116.416462,39.924982",18310919660
B0LGZRS6IE,新壹空间,公司企业;公司;公司,170200,北京市,北京市,东城区,王府井大街219号王府中心北栋电梯厅8楼803,"116.410486,39.916130",15810561593
B0FFGHDRH7,晋唐书画院,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,东总布胡同57-1号,"116.428331,39.912236",[]
B0LAJZONXX,木木美术馆(北京馆),科教文化服务;美术馆;美术馆,140400,北京市,北京市,东城区,朝内大街81号内(东侧),"116.429569,39.924895",15510297818
B0FFFDLW9X,涵芬楼艺术馆,科教文化服务;展览馆;展览馆,140200,北京市,北京市,东城区,王府井大街36号商务印书馆,"116.411271,39.919960",010-85117605
B0J67UOBY9,渡渡画廊(金宝汇购物中心店),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,金宝街88号金宝汇购物中心L3层,"116.421262,39.915010",[]
B0LKOUGPPT,百年巨匠美术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,东城区,天坛东路甲9号(天坛东门地铁站C东南口步行330米),"116.418786,39.881564",[]
B0FFMEFRUV,美后肆时景山市民文化中心,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,美术馆后街40号,"116.409475,39.930631",17718503610
B0KKOHXEY9,行空间新闻大厦艺术馆,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,建国门内大街26号新闻大厦8层,"116.421725,39.907475",[]
B0LR99R18L,观坛艺术馆(红桥市场店),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,天坛路9号红桥市场F5层,"116.420689,39.886162",17181207777
B000A7ZS7B,门墩文化艺术中心,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,五四大街甲18号(中国美术馆地铁站A西北口步行160米),"116.407998,39.924217",13522702448
B0LGP5N88N,雍和55文化空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,东城区,雍和宫大街55号(雍和宫地铁站F东南口步行170米),"116.416549,39.945985",15210855581
B0L0DHNIJI,中国艺术文化发展中心,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,丰台区,南三环西路78号万兴大厦A座西门F5层,"116.339585,39.847881",010-53688667
B0H2F5M42A,八荒锦绣美术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,丰台区,石景山区吴家村路57号华诚博远设计产业园,"116.242022,39.893364",[]
B0MG5ZZRHE,其美空间,公司企业;公司;公司,170200,北京市,北京市,丰台区,北京城区王佐镇东王佐204号,"116.144835,39.811645",18610971550
B0FFG8GQFQ,北京莲云文化艺术中心,科教文化服务;美术馆;美术馆,140400,北京市,北京市,丰台区,六圈路天伦锦城小区甲15号楼1层7,"116.333597,39.818691",010-83712081;010-88572681;18910574698
B0LDUUELY3,嘉铭美术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,丰台区,石榴庄大街行者居酒店二楼,"116.435223,39.846217",13581921637;13681289589
B0L3HXDEP1,新华社美术馆有限公司,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,丰台区,骆驼湾街与金泽路交叉口东北100米,"116.328225,39.867125",[]
B0J2GHF82O,方庄文化艺术中心,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,丰台区,芳群园四区26号楼,"116.431390,39.861060",[]
B0FFIF0WEE,艺之俄美术馆,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,丰台区,马家堡路67号院1号楼半地下,"116.378458,39.843006",[]
B0IATZOVQY,莫妮艺术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,丰台区,城南嘉园16号楼物美超市(公益西桥店)三层,"116.368957,39.833176",[]
B0IB6CETX2,象玛书画院(航天万源广场店),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,丰台区,东高地街道万源北路航天万源广场四层,"116.423837,39.802494",13260104166
B0JU5Z9OEF,静思堂艺术空间,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,丰台区,南四环西路188号总部基地十六区下沉广场A10,"116.292025,39.826175",010-63727038
B0HU5CO6NU,Hello Art国际艺术空间(住总万科广场店),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,大兴区,住总万科广场6层(顶层花园)A座601-3,"116.459040,39.805916",[]
B0HASLAXJB,Hello Art国际艺术空间(林肯公园店),科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,大兴区,北京经济技术开发区天华东路林肯公园B区,"116.495688,39.806738",[]
B0IKOC8TUE,万博艺术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,大兴区,BDA国际广场K座2层(整层),"116.500833,39.784755",[]
B0FFKGKPI4,中国书画院,科教文化服务;美术馆;美术馆,140400,北京市,北京市,大兴区,魏永路9-1,"116.325906,39.667357",010-60274344
B0KKD5KBKL,元懋翔文化 艺术馆(龙玥城店),科教文化服务;展览馆;展览馆,140200,北京市,北京市,大兴区,科创五街38号龙玥城C座2层C00001-C00003,"116.533293,39.802398",13910888444
B0JGU1IOR0,北京乐天汇书画院,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,大兴区,文化园西路林肯公园C区43栋B1,"116.491961,39.805417",13911350090
B0GRUC7J01,北京星河书画院,科教文化服务;博物馆;博物馆,140100,北京市,北京市,大兴区,[],"116.382428,39.761586",[]
B0FFL2TPOF,北京舒勇美术馆,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,大兴区,芦花路一号城乡文化科技园11号楼,"116.284188,39.790325",13717797082
B0FFIXEAFQ,北京青云轩书画院,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,大兴区,青云店镇沙子营村五巷九条18号,"116.481141,39.681659",010-80280258
B0J12R6GTW,天物艺术中心,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,大兴区,宏业东路与欣寿街交叉口东160米,"116.372848,39.783037",18310372010
B0FFG7UT2J,天马行美术馆,科教文化服务;科教文化场所;科教文化场所,140000,北京市,北京市,大兴区,北京经济技术开发区天宝北街境界家园55号楼403室,"116.487817,39.796033",13391542006
B0J371FRQO,志松美术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,大兴区,泰河路6号,"116.521516,39.751937",[]
B0KB6A9A4C,森林画屿美术馆(亦庄天街校区),科教文化服务;美术馆;美术馆,140400,北京市,北京市,大兴区,中铁国际公馆北门商铺2层,"116.491123,39.750252",18501162370
B0FFG738S3,澄怀美术馆,科教文化服务;美术馆;美术馆,140400,北京市,北京市,大兴区,西红门镇京开路13号,"116.346552,39.796146",[]
